STU_ID,GPA_HIGHSCHOOL,Prior_Hours,ReStartMajor,Gender,ReEthnicity,ReCounty,ReFirstMathCrs,FirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
096862A7CC0D12577377E93279AAF018C4E9A518,2,0,Marine Biology,M,African American,Others,MAC1105C,F,10,0,Dropped
09D2690505236CE0C6D3AA144D0C78F8A6A81695,3,0,Cybersecurity,M,White,ESCA,MAC1147,C,13,2.923076923,Retained
0A23705E91688AC3D29F23BBAAAF46E66ECC74B1,4.56,15,Computer Science,M,Asian,ESCA,MAC1147,B+,13,3.715384615,Retained
0A3DBA431A953A69172CD426E412879CD73C90FC,4.07,43,Biomedical Sciences,F,White,BAY,NoAttempt,NoAttempt,11,2.990909091,Retained
0B1601C5D290E2FEA08AB9C6DB7DDCD324B556D4,2.64,12,Mechanical Engineering,M,White,ESCA,MAC1147,B+,15,2.26,Retained
0B4257EBEBFC2841EA41140BC7A510B1142A57AA,3.31,6,Biology,F,Two or More,ESCA,NoAttempt,NoAttempt,14,2.935714286,Retained
0B5DFAC329140AC1191541DA3B420DB9DBE0CF7D,4.18,0,Marine Biology,F,White,NFLA,MAC1105,A-,13,3.553846154,Retained
0B5E665B87ECBD153C9503FE393B4194A10F5E70,4.24,39,Biomedical Sciences,F,White,Others,MAC1147,A,15,4,Retained
0B694686DACFD82B32AA64EFA0894E6D4FD7D2C2,3.54,6,Marine Biology,F,White,NFLA,MAC1105C,C,13,1.7,Dropped
0B82BE693E5F389849A9FE3D33B8A74CA3DB212B,3.93,0,Biology,F,White,SANT,NoAttempt,NoAttempt,13,3.530769231,Retained
0BD8856F454B4C48D42CDD3EB49FACC9C1DF35B5,4.09,27,Electrical Engineering,M,White,OKAL,MAC1147,C,12,2.8,Retained
0BE97B9960514939FC20B07E6E21ECD374ED8B1F,3.44,14,Computer Engineering,M,White,WALT,MAC1147,F,15,1.2,Dropped
0C1CE0407FB435DC96E2A702E1A401763A030BD1,4.12,15,Biochemistry,M,White,ESCA,MAC2312,F,15,2.466666667,Retained
0C43B68958EE39890E92D1B1343EB7B07D5BAF14,3.51,15,Marine Biology,F,White,OKAL,MAC1147,A-,16,3.29375,Retained
0CC8A265A75C18BA01E5E1FA894F512FB193FBF9,3.47,19,Mechanical Engineering,M,White,SANT,MAC1147,D,14,1.214285714,Dropped
0D2E6B40AD4081363494F9D2EE6FD8B93987D54D,3.92,0,Computer Science,M,Hispanic,SANT,MAC1105C,A,13,3.930769231,Retained
0D5DF69182DD2DB895745E2DA403BCDD21A4F4AD,3.59,0,Biomedical Sciences,M,White,NFLA,MAC1147,A,14,3.8,Retained
0E8945B19145F54971863804290F5273FF0935BA,3.92,18,Biology,F,White,OKAL,MAC1147,B+,15,3.146666667,Retained
0EF2FD5C4777623C33B1E0D1463FA787C29BC781,2.89,3,Biomedical Sciences,M,Hispanic,Others,MAC1105C,F,7,1.157142857,Retained
0F1B414CF977CEC69B89FF89E7594B4455898923,4.65,26,Mechanical Engineering,M,White,SANT,MAC1147,A,14,3.564285714,Retained
0F982930191ED2405260C4BA8B05709215FD72FE,3.92,0,Marine Biology,F,White,NFLA,MAC1147,B,15,2.746666667,Dropped
0FA69E33BED358CB002AE1CC66310BDA6959F09B,2.3,0,Biomedical Sciences,M,African American,Others,NoAttempt,NoAttempt,0,0,Dropped
0FC0C871E52FC0B737D04F250B0A73534C362D1F,3.97,23,Biology,F,White,SANT,MAC1147,B,13,2.992307692,Retained
108E70285EF5F7F2AE3B583B34C47B6B9C8B2794,3.88,9,Marine Biology,F,White,ESCA,MAC1147,D,12,1.825,Retained
111AB314108ACEFF2D07401002159B5569B27A5E,4.03,6,Cybersecurity,M,White,SANT,MAC2311,F,16,2.11875,Retained
111D28829BE5F0630859445BC0BF02028FD59654,4.47,12,Biomedical Sciences,F,White,ESCA,MAC1147,A,13,4,Retained
114CC0438958F0686A298BA47F775A276222E63F,3.97,9,Biomedical Sciences,F,White,ORAN,MAC1147,A-,15,3.673333333,Retained
11552471F2369E0F7658DE60AD2E1D9444CDA270,3.62,0,Computer Science,M,White,SANT,MAC1147,B-,13,2.838461538,Retained
118F530B9F708DEB12C11998BD125513ED258D77,2.93,0,Others,M,White,OKAL,MAC1105C,B-,13,3.069230769,Retained
11A25746A4FEE21B786EAFC4C12444946F8C9769,2.97,0,Biomedical Sciences,M,Two or More,ESCA,MAC1147,W,6,0,Dropped
121C91FD64F08E2F74BFCDF5BD060B53FAD3C84F,4.29,0,Computer Science,M,White,SANT,MAC1147,A-,13,2.453846154,Retained
122CD0AA7B26E9117A440299E77938C3756C0E5A,4.44,3,Mechanical Engineering,M,White,HILL,MAC2311,A,15,3.66,Retained
12460CFC5672F0FC131D0E35C7030807492CAA4E,3.84,0,Biomedical Sciences,F,African American,Others,MAC1105C,A-,14,3.271428571,Retained
12C271C37B35D7B917A007BDA0B04F742C49EC7A,4.75,32,Mechanical Engineering,M,White,SANT,Others,A,14,3.85,Retained
135022F4A423380C21BB5B6D84BF0448E88AA8CE,4.16,6,Biomedical Sciences,M,White,ESCA,MAC1140,B+,14,3.214285714,Retained
13C1E293F8A9E2ED8E0692599477C7F812DE1581,3.6,0,Information Technology,M,Others,ESCA,NoAttempt,NoAttempt,12,2.15,Retained
13DDFFB0474271A6B674A1F9A3EE8FA1376919C6,3.56,22,Environmental Management,F,White,OKAL,MAC1140,B-,13,3.230769231,Retained
1401DA1D77CD3A54816AA38DBA7C32ED11B3320B,2.3,4,Chemistry,F,Hispanic,Others,MAC1147,B-,14,3.264285714,Retained
141CB025B8A55344F7BD365973997CF1FC771398,3.29,0,Biology,M,White,Others,MAC1147,W,3,2,Retained
142DF53A446A10D3218B781DBFF44F779200742A,2.78,4,Mechanical Engineering,M,Two or More,SANT,MAC1147,F,12,0.408333333,Dropped
143EA3E4C539065BD0289472E10E7262F4D88452,4.58,40,Biomedical Sciences,M,Asian,ESCA,NoAttempt,NoAttempt,12,3.491666667,Retained
154F9AD0193F37F2A57F0425C3198F1D54EC5C7E,4.06,28,Computer Science,F,White,NFLA,MAC1147,A,13,3.930769231,Retained
15A8437110BCCF6A6CA49847C84550138241B3D1,2.45,0,Cybersecurity,M,African American,Others,NoAttempt,NoAttempt,14,2.935714286,Dropped
165B09C0B48CCCF122666633AAF9AB04F3F5D359,3.81,36,Biomedical Sciences,F,Hispanic,SANT,MAC1147,B,14,3.128571429,Retained
16B696305C7A6DE00FE7BE9A91F0BACB28739555,4.02,27,Mechanical Engineering,M,White,SANT,Others,A-,12,3.583333333,Retained
16CFAD8D95B2A71E87B69E013C5918D03CF81D2B,3.93,47,Cybersecurity,M,White,SANT,MAC2312,F,13,0.923076923,Dropped
17865C957468A0C8DD333BD43CA5CFF29B84E00C,3.5,0,Computer Engineering,M,White,NFLA,MAC1147,C+,13,2.323076923,Dropped
17A723A82DE9F10136356DAA63CD103A5BD711AD,2.4,11,Biomedical Sciences,F,Hispanic,Others,MAC1105C,B,12,2.333333333,Retained
17CB1CCAAE2E7241C0BCBBED2569C9A6AA057F53,4.28,60,Cybersecurity,M,Not Reported,SANT,MAC1147,A-,13,3.053846154,Dropped
17EC40C0C3B1266D92D29B3FE41B8EA054935EF7,4.05,6,Biology,M,White,SANT,MAC1105C,C-,14,2.442857143,Retained
18436012B9F43BC53EDABFF8CCD7897E5FDF3E4B,3.76,6,Information Technology,M,White,ESCA,MAC1147,W,12,2.425,Dropped
1847CD981C9275B08264AF4470A92DFBDC88F89E,4.18,22,Mechanical Engineering,M,African American,ESCA,MAC2312,B+,16,3.575,Retained
18943122CA883A05537901F5F1F4C14E95939528,4.26,28,Mechanical Engineering,M,White,ESCA,MAC2312,C,12,3.008333333,Retained
18AEAA284521E96539A995195A639096E4BA653A,4.02,41,Electrical Engineering,M,White,SANT,MAC1147,C+,12,2.516666667,Retained
18E94638A8E2CA8559EF05394EF53F4061BD17FF,2.9,0,Mechanical Engineering,M,Others,OKAL,MAC1147,C,13,2.530769231,Retained
1966E6881D9D748697739AF824412D7FAD51599E,4.68,10,Electrical Engineering,M,White,SANT,MAC1147,A,12,4,Retained
19F67EB7419057E62619FA9E7293B25E0F66D6B5,3.28,0,Cybersecurity,M,White,NFLA,MAC1147,B+,13,3.461538462,Retained
1A80AB743EE28DCC4393566D99B918E1BCCB3C23,4.39,22,Others,M,White,ESCA,MAC2312,A,14,3.078571429,Retained
1AC71ABA2AD3BCC0B5F0E90E66D83C17428B0C35,4.2,10,Software Design & Development,M,Asian,SANT,NoAttempt,NoAttempt,13,3.584615385,Retained
1AC72C431429F392664ACF3E0864D957ABAF6B28,3.81,0,Marine Biology,M,Not Reported,SANT,MAC1147,C-,14,1.842857143,Retained
1AF429635024049E0F1772B4AFD1DBE8A2C6DA8D,3.19,12,Computer Science,M,African American,ESCA,MAC1147,B+,16,3.31875,Retained
1B354C9B197C5964E25CA6D44485DC4775FA177F,2.79,0,Mechanical Engineering,M,African American,NFLA,MAC1147,C,15,2.386666667,Retained
1B3BE3620D69B759E0CAB62457201410CBFED7E5,3.91,0,Marine Biology,M,White,ESCA,MAC1147,C,14,2.585714286,Retained
1BAAB5EF7628800699137E682B208A68F103C682,3.66,33,Mechanical Engineering,M,White,PASC,MAC1147,B-,16,3.3,Retained
1BB2A9AF15AB4A6D26DAF11B472DC58DDF711506,3.52,3,Biomedical Sciences,M,White,BAY,MAC1105,C+,13,2.307692308,Retained
1C024E1E9D1E352A16799B284B28EEDA63021B25,3.93,3,Cybersecurity,M,White,NFLA,MAC1147,B+,14,3.371428571,Retained
1C168A46E8F0ACDDCF2964E416C5D10327C525E7,4.09,13,Mechanical Engineering,M,White,ESCA,MAC2311,C,15,3.16,Retained
1C17AD55A4E6D2006FCDFFC230D341622F31EC0C,3.61,7,Biomedical Sciences,F,Two or More,DUVA,MAC1147,F,11,1.545454545,Retained
1C1DE34A6D05B09C27C2DD3ACE39B6AC9A117027,3.02,11,Marine Biology,M,White,Others,MAC1105C,F,12,0.666666667,Retained
1C231F6F15D8EA6C5209A3794DF31A593D1887F8,4,26,Marine Biology,F,White,SANT,MAC1147,A,13,3.946153846,Retained
1CC60FB2F48DAD319C4E63E88CD8AAFB47A4A2F4,4.4,16,Mechanical Engineering,M,White,OKAL,MAC1147,B+,13,3.476923077,Retained
1D19D4B5DFFC112B1DAEBEB8C2BA7DC5BDF0A436,3.37,13,Computer Science,M,Asian,OKAL,MAC2312,C,14,3.078571429,Retained
1E125B8A2407A8DE38DD23D57899D9D231B7AEC5,3.56,34,Cybersecurity,M,White,ESCA,MAC2312,A,13,3.469230769,Retained
1E2B636029A17FD03FBF0524E27AE5F3F5F1605C,3.39,9,Others,F,Two or More,Others,NoAttempt,NoAttempt,12,3.5,Dropped
1E3F227AB09D346A61BE921E12B3996A446D519F,3.76,12,Computer Science,M,White,SANT,MAC1147,A-,13,3.7,Retained
1F75D1A60555825D2B66817858AB7692AFFD2A34,3.6,3,Marine Biology,F,White,NFLA,MAC1105C,A-,14,3.264285714,Retained
20339670920362B46A6B682ACE6459D69C66BF4C,2.74,4,Computer Science,M,White,Others,MAC1105C,W,3,0,Dropped
20E4DC994BF094AECAF7B4D5A5846745E218E883,4.2,16,Marine Biology,F,White,Others,MAC1105,W,11,2.945454545,Dropped
212957249082DD45B1D45F7959F6E4D8AD2E4B0A,4.73,66,Natural Science,F,White,DUVA,MAC1147,A-,13,3.907692308,Retained
213275995F19401110A89290FFC169427D61C176,3.77,0,Software Engineering,M,White,SANT,MAC1147,A-,14,3.914285714,Retained
21B3D2092045DD9AD54E3EF931A3D1A93B9E51C7,4.67,36,Marine Biology,F,White,Others,MAC1147,B+,15,2.986666667,Retained
220FC2778FE32B9EA852275E5F02031D1AB4705F,3.9,9,Biomedical Sciences,M,White,Others,MAC1147,C,14,2.728571429,Retained
22DAB90AD732639BD7394F8B59CF95FF41CC9187,4.34,0,Biomedical Sciences,M,White,ESCA,MAC1147,A,14,3.735714286,Retained
22F3AF54FE61C252EF9A46C21468EB537DE33B00,4.18,23,Biomedical Sciences,F,White,SANT,MAC1140,W,5,0,Dropped
23231B8C6E35CB7D87BE231654D5F684CC79F522,3.94,12,Biomedical Sciences,F,African American,Others,MAC1147,A,12,3.316666667,Retained
23370C14687E3E2FD0DE6070AAB9EDE3B5664773,4.43,23,Cybersecurity,M,Two or More,SANT,NoAttempt,NoAttempt,16,3.675,Retained
234867462EA006BEFFF1FD145280ED3E620EFE72,3.32,6,Electrical Engineering,M,White,ESCA,MAC1147,A,13,3.769230769,Retained
234B72A82EC04281FA991176DEEECBEE8FE92D49,4.28,33,Chemistry,F,White,BAY,MAC1147,B+,15,3.286666667,Retained
242B79E85375C1AD752AA20D0CB2794AF9358029,4.24,9,Biomedical Sciences,F,White,ESCA,MAC1147,A,14,3.65,Retained
2436E047A4C342D40ADFF4020135BA6ED29813B6,4.32,57,Biomedical Sciences,F,Others,WALT,MAC1147,C,12,2.325,Retained
252558580538D591989A14222991DBFB218D3043,3.95,6,Electrical Engineering,M,White,ESCA,MAC1147,C,12,2.758333333,Retained
2534B7625FF8DF13CCC7276346938186F9222965,4.39,25,Mechanical Engineering,F,White,ESCA,MAC2312,B,15,2.74,Retained
25709A49912314EE1ED811248B2838B55125E6E8,4.58,43,Biochemistry,F,White,SANT,MAC1147,A,13,4,Retained
260062B43614728F19F7709A90AC60A9B778F68B,4.04,40,Cybersecurity,M,White,SANT,MAC2311,W,9,2.2,Dropped
261926CE60D8E73FB1A84B05779F6F7B4F1B5709,2.11,0,Physics,M,Two or More,DUVA,MAC1105C,F,10,0,Dropped
26CAB5D28985335980E299BB1C4008288385FF7D,3.47,0,Cybersecurity,M,African American,NFLA,MAC1105C,A,10,3.4,Retained
26EC32D963FE8474FD3BDFDB38152C2AA8619B3D,3.42,9,Marine Biology,F,White,OKAL,MAC1105C,C+,12,2.458333333,Retained
27A5DB1A9E0A3B717AAE57B6291FAE342305F821,2.75,0,Marine Biology,M,White,Others,MAC1147,W,3,0,Dropped
28204E6D76B7A2F2F9AAC0F4A72731F340A95789,4.39,28,Biomedical Sciences,F,White,SANT,Others,B,10,3.42,Retained
28559ACA1B33F64DE9773E67EC7658994AECF998,2.86,0,Biomedical Sciences,M,Hispanic,NFLA,MAC1147,C-,12,2.475,Retained
2867C2F679C3FE954305021947F41F6C698A94C0,4.37,18,Biomedical Sciences,F,African American,ESCA,MAC2311,B+,14,3.435714286,Retained
287E83960F2B2CC73A6C2CFD8A268DE2D0ED99D1,3.93,0,Mechanical Engineering,M,White,ESCA,MAC1147,C,13,2.069230769,Retained
28BF9187DCD6074CEA4F20A10AF533BB606FF683,3.92,3,Biomedical Sciences,M,African American,ESCA,MAC1147,A,14,3.578571429,Retained
28CA9F31533022A38F5803B2971B6990C41768FC,4.25,24,Mechanical Engineering,M,Two or More,SANT,MAC2311,F,12,1.6,Dropped
29ABE090ADEB271622E768760A88DC06AC24D668,3.13,6,Cybersecurity,F,White,Others,MAC1147,A-,14,3.421428571,Retained
29DEF0C8ADA01F66287158F62FEE675642534BCA,3.68,31,Software Engineering,M,White,BAY,MAC1147,F,13,0,Dropped
29FD8ABD03179FCA7494788A806D2A7D5930DD25,3.88,54,Information Technology,M,White,ESCA,NoAttempt,NoAttempt,13,3.469230769,Retained
2A9B6FF037122D8218660AEDE51664803EEE2249,3.14,9,Natural Science,M,Hispanic,ESCA,MAC1105C,C-,14,2.692857143,Retained
2AAB0564965116E63A5715E0285435B1F38F886C,3.12,6,Cybersecurity,M,White,SANT,MAC1105C,W,3,0,Dropped
2AC5B509C78BA95C8CD48FE4FDC02CD834366B07,3.03,0,Mechanical Engineering,M,White,SANT,MAC1147,C,9,2.544444444,Retained
2B2E94E3B6D8266A619F461E3D0DE033CFE93BE2,3.62,6,Cybersecurity,M,White,SANT,MAC1147,NF,13,0,Retained
2B7F9115FFEAAD1A456AB07B7ECF785ADFB94CF4,4.22,0,Biomedical Sciences,F,White,SANT,MAC1147,W,8,2.2625,Retained
2B9FB5FE5FEDD867A481C9B5AD09927FCF16477C,4.41,43,Electrical Engineering,M,White,SANT,MAC2311,B+,14,3.214285714,Retained
2C8C839C6B3D72C284B224EFA13B6934F2246469,3.96,37,Chemistry,M,White,ORAN,MAC1147,A,14,4,Retained
2C95B7100E26DD63DDCF4E9EFB1386729908770E,5,76,Biomedical Sciences,F,African American,ESCA,NoAttempt,NoAttempt,4,2.475,Dropped
2D0616F43A2B8638BDA6AFBF43A22024B31BA644,3.8,15,Mechanical Engineering,M,White,OKAL,MAC1147,A,14,3.721428571,Retained
2D45D59B599601DDBE02DE85F71338E4A98FEDFA,3.05,3,Cybersecurity,M,Hispanic,Others,MAC1147,C,13,2.553846154,Retained
2DA4BC5C3A24056ADB70330769712A2BB583ADC0,3.98,10,Electrical Engineering,M,White,ESCA,MAC2312,A,15,4,Retained
2DBEEFA8AD50F90DC10AE68D11A81BE28E8AB49B,3.43,31,Environmental Management,M,Two or More,BAY,MAC1147,W,11,1.8,Dropped
2E12ECC3B90860855AB5A68D963C297BE5F0CE2D,4.31,31,Biology,F,White,SANT,MAC1147,C,15,2.806666667,Retained
2E2FA6EA74065672169EAAAAACFE13D2717A3855,2.95,0,Cybersecurity,M,White,ESCA,MAC1105C,C,15,1.68,Dropped
2E5C25BAD1A0EAB20DB70D78793FF79029C21600,2.9,0,Mechanical Engineering,M,Not Reported,Others,MAC1147,D+,13,2.246153846,Dropped
2E8535866C837F439BD6D87CE82B8F8B11E78851,3.54,3,Electrical Engineering,M,Two or More,Others,MAC1147,B,14,3.2,Retained
2EA864CC2771587A524E5F6FADCB9EEC1E8B3CD0,4.02,0,Biology,F,White,Others,MAC1147,A-,15,2.74,Retained
2EDFCFD77B7800FB44526AAE1C4460FB4422BF16,4.07,9,Biomedical Sciences,F,White,ESCA,MAC1140,A-,14,3.514285714,Retained
2FC005FE0E21B29127DCF999115722F59996C17B,3.8,9,Marine Biology,F,Asian,ESCA,MAC1147,B,13,3.084615385,Retained
2FE34A0FEE3B5AA5589F40070944974CF087FAE3,3.84,19,Biology,F,Hispanic,OKAL,NoAttempt,NoAttempt,12,3.75,Retained
3001A414ED6B3B25BFA942EA9A421C15F1432B08,3.54,0,Marine Biology,F,African American,NFLA,MAC1105C,C,14,2.421428571,Retained
301310F9601B9FDAECBE31F913A5CFC3E3C51220,3.53,0,Biomedical Sciences,M,Others,HILL,NoAttempt,NoAttempt,15,3.646666667,Retained
304F7E29BF6AE8F73CA1719CAE5F2F190FA1F433,4.61,12,Computer Science,M,White,ESCA,MAC1147,A,13,3.930769231,Retained
306DC8AB7EFDAA1517318F13EB42724F97437430,4.73,98,Computer Engineering,M,White,OKAL,NoAttempt,NoAttempt,13,3.853846154,Retained
30A8F714822F32AB8D46C492AE85E991191C2481,3.34,30,Biomedical Sciences,M,White,OKAL,MAC1147,B,15,3.333333333,Retained
3118D932C73A5613F3A6C9E2037B66A0B3F257D5,3.33,0,Chemistry,M,Asian,ESCA,MAC1147,D,14,1.857142857,Retained
314B11EC203DB7AA6A3F1A30DAC4741D9A9F30BB,3.65,0,Biomedical Sciences,M,White,OKAL,MAC1147,C+,14,2.65,Retained
31C5B36B74026A785518C68E52E4C3AE9935408A,4.8,44,Mechanical Engineering,M,White,SANT,MAC1147,A,13,4,Retained
324C2CF259225353811E4A9B65F126B1DEC2D43C,4.02,71,Computer Science,M,White,OKAL,NoAttempt,NoAttempt,9,2.233333333,Retained
32B46C63C4EB29E07CEF331F1358E840661E6672,3.42,15,Computer Science,F,White,ESCA,NoAttempt,NoAttempt,12,1.5,Retained
32BB80AFCADB91857537413639292070742DF3D3,4.23,32,Biomedical Sciences,M,Asian,ESCA,MAC1147,A,16,3.21875,Retained
32F3E4FF52FA6DF23AA20C3C8D1C078DAA4724A8,4.44,29,Marine Biology,F,White,ORAN,MAC1105,A,14,3.864285714,Retained
33359B99ECEC9D0C55EC07585F3B711C5D63A7AD,3.94,6,Marine Biology,F,White,OKAL,MAC2311,B+,12,2.916666667,Retained
3373CB1F21F2120E2D17B1358AC6F1E58035C075,2.3,7,Biomedical Sciences,F,African American,Others,MAC1105C,W,4,2,Retained
3377DD912B877ABB0F3E2026ED9639B9D69E47FC,3.3,12,Biomedical Sciences,F,African American,PASC,MAC1147,D+,15,2.006666667,Retained
33B2BF0AC04908117266AA3AE6BB7F35BBC6CB1A,3.33,0,Mechanical Engineering,F,Two or More,Others,MAC1105C,B,14,3.157142857,Retained
33EDAD3A6C9DC067E0440EB496825C251D78C923,3.34,0,Biomedical Sciences,M,White,OKAL,MAC1147,B,14,3.214285714,Retained
3409375F45D69AD7A02C26E83609FE855D18CF39,3.83,9,Biology,F,White,Others,MAC1147,C+,15,2.213333333,Retained
341662FA9A45B91D4D100A15DAB9EBC0D8F637B8,3.6,0,Marine Biology,F,White,NFLA,MAC1105C,A,13,2.846153846,Retained
34527E618C8D2D62679E1C313AC53AEE3BF087AB,3.43,0,Biomedical Sciences,F,White,ESCA,MAC1105C,B-,14,2.707142857,Retained
34A318890053858B70081EBCDC6B66F00434874E,4.01,61,Computer Science,M,Hispanic,ESCA,MAC1147,A,13,3.930769231,Retained
34B4F47F2882012F3AF7FF8C6D9D4C27FE1C89A5,3.7,10,Mechanical Engineering,M,White,NFLA,MAC1105C,C+,13,1.861538462,Dropped
34C93DDA8D545C3C6FA52F0A4E44B652492DED4A,3.8,25,Marine Biology,F,White,Others,MAC1147,C+,12,2.691666667,Retained
34D01C1613B100CFBB332D2FF6F3F19D59E4E40C,3,0,Marine Biology,M,African American,OKAL,MAC1147,W,0,0,Dropped
34EF04666A678B45FDBBFD0339906F2BCB9365D2,4.07,12,Computer Engineering,M,Hispanic,Others,MAC1147,A,15,3.46,Retained
35B5D8318549CE86AE32C77781F4D3E360991581,4.69,33,Biomedical Sciences,F,White,ESCA,MAC1147,W,12,3.725,Retained
35D6B1137E013058F34DB546F70B5861EE2F64DF,3.58,0,Biology,M,White,SANT,MAC1147,B-,14,2.907142857,Retained
35E7752752DE0F4B3C0AF1314C41CB5E9871D18A,4.02,3,Computer Engineering,M,White,SANT,MAC1147,B,13,2.769230769,Retained
36BD12D4D4F88FAD0167A997F9725E6437E293AD,3.71,9,Computer Science,M,White,ESCA,MAC1105C,B+,13,3.161538462,Retained
377020862F507D237AAE485E531F9C099DAC5F06,3.43,12,Marine Biology,F,Hispanic,SANT,MAC1105C,C+,15,1.553333333,Retained
3790447F999533E4652DE64DBB7F16294CB5F578,4.21,52,Biomedical Sciences,F,White,SANT,MAC1147,C+,17,2.835294118,Retained
3793D7FE34675D1FDBBFE21D3976296BA8EE673A,4.32,33,Biomedical Sciences,F,Hispanic,Others,NoAttempt,NoAttempt,14,3.221428571,Retained
37D3A000087D6CE3FBBA041373AA4D5C1039F439,2.68,0,Mechanical Engineering,M,White,ESCA,MAC1105C,D,13,2.615384615,Retained
381777837B8C2D8A99F343D6DF8BF6F20E967259,3.26,11,Marine Biology,F,Two or More,SANT,MAC1105C,C,15,2.133333333,Retained
3850B22B1ED5ADF2886853E9E5D49EA582F0BD92,4.6,63,Natural Science,F,White,Others,MAC1147,A,15,4,Retained
389F10CFE172D3FC4D63742A8676B3748EDC6143,4.39,61,Biomedical Sciences,F,African American,OKAL,MAC1147,B-,12,3.316666667,Retained
