STU_ID,UWFGPA1stYear,Prior_Hours,StartMajor,ReStartMajor,Gender,Ethnicity,ReEthnicity,County,ReCounty,FirstMathCrs,ReFirstMathCrs,FirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear,GPA_HIGHSCHOOL
096862A7CC0D12577377E93279AAF018C4E9A518,0,0,Marine Biology,Marine Biology,M,African American,African American,WAKU,Others,MAC1105C,MAC1105C,F,10,0,Dropped,2
09D2690505236CE0C6D3AA144D0C78F8A6A81695,3.123076923,0,Cybersecurity,Cybersecurity,M,White,White,ESCA,ESCA,MAC1147,MAC1147,C,13,2.923076923,Retained,3
0A23705E91688AC3D29F23BBAAAF46E66ECC74B1,3.84137931,15,Computer Science,Computer Science,M,Asian,Asian,ESCA,ESCA,MAC1147,MAC1147,B+,13,3.715384615,Retained,4.56
0A3DBA431A953A69172CD426E412879CD73C90FC,2.813793103,43,Biomedical Sciences,Biomedical Sciences,F,White,White,BAY,BAY,NoAttempt,NoAttempt,NoAttempt,11,2.990909091,Retained,4.07
0B1601C5D290E2FEA08AB9C6DB7DDCD324B556D4,2.328571429,12,Mechanical Engineering,Mechanical Engineering,M,White,White,ESCA,ESCA,MAC1147,MAC1147,B+,15,2.26,Retained,2.64
0B4257EBEBFC2841EA41140BC7A510B1142A57AA,2.924,6,Biology,Biology,F,Two or More,Two or More,ESCA,ESCA,NoAttempt,NoAttempt,NoAttempt,14,2.935714286,Retained,3.31
0B5DFAC329140AC1191541DA3B420DB9DBE0CF7D,3.442857143,0,Marine Biology,Marine Biology,F,White,White,NFLA,NFLA,MAC1105,MAC1105,A-,13,3.553846154,Retained,4.18
0B5E665B87ECBD153C9503FE393B4194A10F5E70,4,39,Biomedical Sciences,Biomedical Sciences,F,White,White,SEMI,Others,MAC1147,MAC1147,A,15,4,Retained,4.24
0B694686DACFD82B32AA64EFA0894E6D4FD7D2C2,1.864285714,6,Marine Biology,Marine Biology,F,White,White,NFLA,NFLA,MAC1105C,MAC1105C,C,13,1.7,Dropped,3.54
0B82BE693E5F389849A9FE3D33B8A74CA3DB212B,3.621875,0,Biology,Biology,F,White,White,SANT,SANT,NoAttempt,NoAttempt,NoAttempt,13,3.530769231,Retained,3.93
0BD8856F454B4C48D42CDD3EB49FACC9C1DF35B5,2.796875,27,Electrical Engineering,Electrical Engineering,M,White,White,OKAL,OKAL,MAC1147,MAC1147,C,12,2.8,Retained,4.09
0BE97B9960514939FC20B07E6E21ECD374ED8B1F,1.636363636,14,Computer Engineering,Computer Engineering,M,White,White,WALT,WALT,MAC1147,MAC1147,F,15,1.2,Dropped,3.44
0C1CE0407FB435DC96E2A702E1A401763A030BD1,3.2,15,Biochemistry,Biochemistry,M,White,White,ESCA,ESCA,MAC2312,MAC2312,F,15,2.466666667,Retained,4.12
0C43B68958EE39890E92D1B1343EB7B07D5BAF14,2.8025,15,Marine Biology,Marine Biology,F,White,White,OKAL,OKAL,MAC1147,MAC1147,A-,16,3.29375,Retained,3.51
0CC8A265A75C18BA01E5E1FA894F512FB193FBF9,1.214285714,19,Mechanical Engineering,Mechanical Engineering,M,White,White,SANT,SANT,MAC1147,MAC1147,D,14,1.214285714,Dropped,3.47
0D2E6B40AD4081363494F9D2EE6FD8B93987D54D,3.855172414,0,Computer Science,Computer Science,M,Hispanic,Hispanic,SANT,SANT,MAC1105C,MAC1105C,A,13,3.930769231,Retained,3.92
0D5DF69182DD2DB895745E2DA403BCDD21A4F4AD,3.896296296,0,Biomedical Sciences,Biomedical Sciences,M,White,White,NFLA,NFLA,MAC1147,MAC1147,A,14,3.8,Retained,3.59
0E8945B19145F54971863804290F5273FF0935BA,3.213333333,18,Biology,Biology,F,White,White,OKAL,OKAL,MAC1147,MAC1147,B+,15,3.146666667,Retained,3.92
0EF2FD5C4777623C33B1E0D1463FA787C29BC781,2.0375,3,Biomedical Sciences,Biomedical Sciences,M,Hispanic,Hispanic,HARD,Others,MAC1105C,MAC1105C,F,7,1.157142857,Retained,2.89
0F1B414CF977CEC69B89FF89E7594B4455898923,3.751515152,26,Mechanical Engineering,Mechanical Engineering,M,White,White,SANT,SANT,MAC1147,MAC1147,A,14,3.564285714,Retained,4.65
0F982930191ED2405260C4BA8B05709215FD72FE,2.825,0,Marine Biology,Marine Biology,F,White,White,NFLA,NFLA,MAC1147,MAC1147,B,15,2.746666667,Dropped,3.92
0FA69E33BED358CB002AE1CC66310BDA6959F09B,2.285714286,0,Biomedical Sciences,Biomedical Sciences,M,African American,African American,SEMI,Others,NoAttempt,NoAttempt,NoAttempt,0,0,Dropped,2.3
0FC0C871E52FC0B737D04F250B0A73534C362D1F,3.35,23,Biology,Biology,F,White,White,SANT,SANT,MAC1147,MAC1147,B,13,2.992307692,Retained,3.97
108E70285EF5F7F2AE3B583B34C47B6B9C8B2794,2.589189189,9,Marine Biology,Marine Biology,F,White,White,ESCA,ESCA,MAC1147,MAC1147,D,12,1.825,Retained,3.88
111AB314108ACEFF2D07401002159B5569B27A5E,3.075,6,Cybersecurity,Cybersecurity,M,White,White,SANT,SANT,MAC2311,MAC2311,F,16,2.11875,Retained,4.03
111D28829BE5F0630859445BC0BF02028FD59654,3.973529412,12,Biomedical Sciences,Biomedical Sciences,F,White,White,ESCA,ESCA,MAC1147,MAC1147,A,13,4,Retained,4.47
114CC0438958F0686A298BA47F775A276222E63F,3.548484848,9,Biomedical Sciences,Biomedical Sciences,F,White,White,ORAN,ORAN,MAC1147,MAC1147,A-,15,3.673333333,Retained,3.97
11552471F2369E0F7658DE60AD2E1D9444CDA270,3.117142857,0,Computer Science,Computer Science,M,White,White,SANT,SANT,MAC1147,MAC1147,B-,13,2.838461538,Retained,3.62
118F530B9F708DEB12C11998BD125513ED258D77,3.139285714,0,Computer Information Systems,Others,M,White,White,OKAL,OKAL,MAC1105C,MAC1105C,B-,13,3.069230769,Retained,2.93
11A25746A4FEE21B786EAFC4C12444946F8C9769,0,0,Biomedical Sciences,Biomedical Sciences,M,Two or More,Two or More,ESCA,ESCA,MAC1147,MAC1147,W,6,0,Dropped,2.97
121C91FD64F08E2F74BFCDF5BD060B53FAD3C84F,2.84375,0,Computer Science,Computer Science,M,White,White,SANT,SANT,MAC1147,MAC1147,A-,13,2.453846154,Retained,4.29
122CD0AA7B26E9117A440299E77938C3756C0E5A,3.706451613,3,Mechanical Engineering,Mechanical Engineering,M,White,White,HILL,HILL,MAC2311,MAC2311,A,15,3.66,Retained,4.44
12460CFC5672F0FC131D0E35C7030807492CAA4E,3.345714286,0,Biomedical Sciences,Biomedical Sciences,F,African American,African American,HERN,Others,MAC1105C,MAC1105C,A-,14,3.271428571,Retained,3.84
12C271C37B35D7B917A007BDA0B04F742C49EC7A,3.888571429,32,Mechanical Engineering,Mechanical Engineering,M,White,White,SANT,SANT,MAC2313,Others,A,14,3.85,Retained,4.75
135022F4A423380C21BB5B6D84BF0448E88AA8CE,2.9375,6,Biomedical Sciences,Biomedical Sciences,M,White,White,ESCA,ESCA,MAC1140,MAC1140,B+,14,3.214285714,Retained,4.16
13C1E293F8A9E2ED8E0692599477C7F812DE1581,2.45,0,Information Technology,Information Technology,M,American Indian/Alaskan Native,Others,ESCA,ESCA,NoAttempt,NoAttempt,NoAttempt,12,2.15,Retained,3.6
13DDFFB0474271A6B674A1F9A3EE8FA1376919C6,3.36,22,Environmental Management,Environmental Management,F,White,White,OKAL,OKAL,MAC1140,MAC1140,B-,13,3.230769231,Retained,3.56
1401DA1D77CD3A54816AA38DBA7C32ED11B3320B,3.441935484,4,Chemistry,Chemistry,F,Hispanic,Hispanic,LAKE,Others,MAC1147,MAC1147,B-,14,3.264285714,Retained,2.3
141CB025B8A55344F7BD365973997CF1FC771398,2,0,Biology,Biology,M,White,White,WASH,Others,MAC1147,MAC1147,W,3,2,Retained,3.29
142DF53A446A10D3218B781DBFF44F779200742A,0.98,4,Mechanical Engineering,Mechanical Engineering,M,Two or More,Two or More,SANT,SANT,MAC1147,MAC1147,F,12,0.408333333,Dropped,2.78
143EA3E4C539065BD0289472E10E7262F4D88452,3.093939394,40,Biomedical Sciences,Biomedical Sciences,M,Asian,Asian,ESCA,ESCA,NoAttempt,NoAttempt,NoAttempt,12,3.491666667,Retained,4.58
154F9AD0193F37F2A57F0425C3198F1D54EC5C7E,3.390322581,28,Computer Science,Computer Science,F,White,White,NFLA,NFLA,MAC1147,MAC1147,A,13,3.930769231,Retained,4.06
15A8437110BCCF6A6CA49847C84550138241B3D1,2.935714286,0,Cybersecurity,Cybersecurity,M,African American,African American,PALM,Others,NoAttempt,NoAttempt,NoAttempt,14,2.935714286,Dropped,2.45
165B09C0B48CCCF122666633AAF9AB04F3F5D359,3.078378378,36,Biomedical Sciences,Biomedical Sciences,F,Hispanic,Hispanic,SANT,SANT,MAC1147,MAC1147,B,14,3.128571429,Retained,3.81
16B696305C7A6DE00FE7BE9A91F0BACB28739555,3.023076923,27,Mechanical Engineering,Mechanical Engineering,M,White,White,SANT,SANT,MAC2313,Others,A-,12,3.583333333,Retained,4.02
16CFAD8D95B2A71E87B69E013C5918D03CF81D2B,0.923076923,47,Cybersecurity,Cybersecurity,M,White,White,SANT,SANT,MAC2312,MAC2312,F,13,0.923076923,Dropped,3.93
17865C957468A0C8DD333BD43CA5CFF29B84E00C,2.323076923,0,Computer Engineering,Computer Engineering,M,White,White,NFLA,NFLA,MAC1147,MAC1147,C+,13,2.323076923,Dropped,3.5
17A723A82DE9F10136356DAA63CD103A5BD711AD,2.933333333,11,Biomedical Sciences,Biomedical Sciences,F,Hispanic,Hispanic,DADE,Others,MAC1105C,MAC1105C,B,12,2.333333333,Retained,2.4
17CB1CCAAE2E7241C0BCBBED2569C9A6AA057F53,3.053846154,60,Cybersecurity,Cybersecurity,M,Not Reported,Not Reported,SANT,SANT,MAC1147,MAC1147,A-,13,3.053846154,Dropped,4.28
17EC40C0C3B1266D92D29B3FE41B8EA054935EF7,2.342307692,6,Biology,Biology,M,White,White,SANT,SANT,MAC1105C,MAC1105C,C-,14,2.442857143,Retained,4.05
18436012B9F43BC53EDABFF8CCD7897E5FDF3E4B,2.425,6,Information Technology,Information Technology,M,White,White,ESCA,ESCA,MAC1147,MAC1147,W,12,2.425,Dropped,3.76
1847CD981C9275B08264AF4470A92DFBDC88F89E,3.616666667,22,Mechanical Engineering,Mechanical Engineering,M,African American,African American,ESCA,ESCA,MAC2312,MAC2312,B+,16,3.575,Retained,4.18
18943122CA883A05537901F5F1F4C14E95939528,2.894736842,28,Mechanical Engineering,Mechanical Engineering,M,White,White,ESCA,ESCA,MAC2312,MAC2312,C,12,3.008333333,Retained,4.26
18AEAA284521E96539A995195A639096E4BA653A,2.685185185,41,Electrical Engineering,Electrical Engineering,M,White,White,SANT,SANT,MAC1147,MAC1147,C+,12,2.516666667,Retained,4.02
18E94638A8E2CA8559EF05394EF53F4061BD17FF,2.684,0,Mechanical Engineering,Mechanical Engineering,M,Non-Resident Alien,Others,OKAL,OKAL,MAC1147,MAC1147,C,13,2.530769231,Retained,2.9
1966E6881D9D748697739AF824412D7FAD51599E,3.844,10,Electrical Engineering,Electrical Engineering,M,White,White,SANT,SANT,MAC1147,MAC1147,A,12,4,Retained,4.68
19F67EB7419057E62619FA9E7293B25E0F66D6B5,3.048717949,0,Cybersecurity,Cybersecurity,M,White,White,NFLA,NFLA,MAC1147,MAC1147,B+,13,3.461538462,Retained,3.28
1A80AB743EE28DCC4393566D99B918E1BCCB3C23,3.503125,22,Computer Information Systems,Others,M,White,White,ESCA,ESCA,MAC2312,MAC2312,A,14,3.078571429,Retained,4.39
1AC71ABA2AD3BCC0B5F0E90E66D83C17428B0C35,3.528571429,10,Software Design & Development,Software Design & Development,M,Asian,Asian,SANT,SANT,NoAttempt,NoAttempt,NoAttempt,13,3.584615385,Retained,4.2
1AC72C431429F392664ACF3E0864D957ABAF6B28,2.260714286,0,Marine Biology,Marine Biology,M,Not Reported,Not Reported,SANT,SANT,MAC1147,MAC1147,C-,14,1.842857143,Retained,3.81
1AF429635024049E0F1772B4AFD1DBE8A2C6DA8D,2.952631579,12,Computer Science,Computer Science,M,African American,African American,ESCA,ESCA,MAC1147,MAC1147,B+,16,3.31875,Retained,3.19
1B354C9B197C5964E25CA6D44485DC4775FA177F,2.704761905,0,Mechanical Engineering,Mechanical Engineering,M,African American,African American,NFLA,NFLA,MAC1147,MAC1147,C,15,2.386666667,Retained,2.79
1B3BE3620D69B759E0CAB62457201410CBFED7E5,3.117241379,0,Marine Biology,Marine Biology,M,White,White,ESCA,ESCA,MAC1147,MAC1147,C,14,2.585714286,Retained,3.91
1BAAB5EF7628800699137E682B208A68F103C682,3.3,33,Mechanical Engineering,Mechanical Engineering,M,White,White,PASC,PASC,MAC1147,MAC1147,B-,16,3.3,Retained,3.66
1BB2A9AF15AB4A6D26DAF11B472DC58DDF711506,2.408333333,3,Biomedical Sciences,Biomedical Sciences,M,White,White,BAY,BAY,MAC1105,MAC1105,C+,13,2.307692308,Retained,3.52
1C024E1E9D1E352A16799B284B28EEDA63021B25,3.6075,3,Cybersecurity,Cybersecurity,M,White,White,NFLA,NFLA,MAC1147,MAC1147,B+,14,3.371428571,Retained,3.93
1C168A46E8F0ACDDCF2964E416C5D10327C525E7,3.259090909,13,Mechanical Engineering,Mechanical Engineering,M,White,White,ESCA,ESCA,MAC2311,MAC2311,C,15,3.16,Retained,4.09
1C17AD55A4E6D2006FCDFFC230D341622F31EC0C,2.716666667,7,Biomedical Sciences,Biomedical Sciences,F,Two or More,Two or More,DUVA,DUVA,MAC1147,MAC1147,F,11,1.545454545,Retained,3.61
1C1DE34A6D05B09C27C2DD3ACE39B6AC9A117027,2.267857143,11,Marine Biology,Marine Biology,M,White,White,CITR,Others,MAC1105C,MAC1105C,F,12,0.666666667,Retained,3.02
1C231F6F15D8EA6C5209A3794DF31A593D1887F8,3.934210526,26,Marine Biology,Marine Biology,F,White,White,SANT,SANT,MAC1147,MAC1147,A,13,3.946153846,Retained,4
1CC60FB2F48DAD319C4E63E88CD8AAFB47A4A2F4,2.851851852,16,Mechanical Engineering,Mechanical Engineering,M,White,White,OKAL,OKAL,MAC1147,MAC1147,B+,13,3.476923077,Retained,4.4
1D19D4B5DFFC112B1DAEBEB8C2BA7DC5BDF0A436,3.090909091,13,Computer Science,Computer Science,M,Asian,Asian,OKAL,OKAL,MAC2312,MAC2312,C,14,3.078571429,Retained,3.37
1E125B8A2407A8DE38DD23D57899D9D231B7AEC5,3.388461538,34,Cybersecurity,Cybersecurity,M,White,White,ESCA,ESCA,MAC2312,MAC2312,A,13,3.469230769,Retained,3.56
1E2B636029A17FD03FBF0524E27AE5F3F5F1605C,3.5,9,Interdiscip Science-UNDECLARED,Others,F,Two or More,Two or More,LEON,Others,NoAttempt,NoAttempt,NoAttempt,12,3.5,Dropped,3.39
1E3F227AB09D346A61BE921E12B3996A446D519F,3.282857143,12,Computer Science,Computer Science,M,White,White,SANT,SANT,MAC1147,MAC1147,A-,13,3.7,Retained,3.76
1F75D1A60555825D2B66817858AB7692AFFD2A34,3.45,3,Marine Biology,Marine Biology,F,White,White,NFLA,NFLA,MAC1105C,MAC1105C,A-,14,3.264285714,Retained,3.6
20339670920362B46A6B682ACE6459D69C66BF4C,2,4,Computer Science,Computer Science,M,White,White,ST J,Others,MAC1105C,MAC1105C,W,3,0,Dropped,2.74
20E4DC994BF094AECAF7B4D5A5846745E218E883,2.945454545,16,Marine Biology,Marine Biology,F,White,White,LAKE,Others,MAC1105,MAC1105,W,11,2.945454545,Dropped,4.2
212957249082DD45B1D45F7959F6E4D8AD2E4B0A,3.79,66,Natural Science,Natural Science,F,White,White,DUVA,DUVA,MAC1147,MAC1147,A-,13,3.907692308,Retained,4.73
213275995F19401110A89290FFC169427D61C176,3.96,0,Software Engineering,Software Engineering,M,White,White,SANT,SANT,MAC1147,MAC1147,A-,14,3.914285714,Retained,3.77
21B3D2092045DD9AD54E3EF931A3D1A93B9E51C7,3.188235294,36,Marine Biology,Marine Biology,F,White,White,LAKE,Others,MAC1147,MAC1147,B+,15,2.986666667,Retained,4.67
220FC2778FE32B9EA852275E5F02031D1AB4705F,2.980645161,9,Biomedical Sciences,Biomedical Sciences,M,White,White,PALM,Others,MAC1147,MAC1147,C,14,2.728571429,Retained,3.9
22DAB90AD732639BD7394F8B59CF95FF41CC9187,3.721875,0,Biomedical Sciences,Biomedical Sciences,M,White,White,ESCA,ESCA,MAC1147,MAC1147,A,14,3.735714286,Retained,4.34
22F3AF54FE61C252EF9A46C21468EB537DE33B00,0,23,Biomedical Sciences,Biomedical Sciences,F,White,White,SANT,SANT,MAC1140,MAC1140,W,5,0,Dropped,4.18
23231B8C6E35CB7D87BE231654D5F684CC79F522,3.453846154,12,Biomedical Sciences,Biomedical Sciences,F,African American,African American,COLL,Others,MAC1147,MAC1147,A,12,3.316666667,Retained,3.94
23370C14687E3E2FD0DE6070AAB9EDE3B5664773,3.425,23,Cybersecurity,Cybersecurity,M,Two or More,Two or More,SANT,SANT,NoAttempt,NoAttempt,NoAttempt,16,3.675,Retained,4.43
234867462EA006BEFFF1FD145280ED3E620EFE72,3.785185185,6,Electrical Engineering,Electrical Engineering,M,White,White,ESCA,ESCA,MAC1147,MAC1147,A,13,3.769230769,Retained,3.32
234B72A82EC04281FA991176DEEECBEE8FE92D49,3.196296296,33,Chemistry,Chemistry,F,White,White,BAY,BAY,MAC1147,MAC1147,B+,15,3.286666667,Retained,4.28
242B79E85375C1AD752AA20D0CB2794AF9358029,3.591176471,9,Biomedical Sciences,Biomedical Sciences,F,White,White,ESCA,ESCA,MAC1147,MAC1147,A,14,3.65,Retained,4.24
2436E047A4C342D40ADFF4020135BA6ED29813B6,3.137931034,57,Biomedical Sciences,Biomedical Sciences,F,Non-Resident Alien,Others,WALT,WALT,MAC1147,MAC1147,C,12,2.325,Retained,4.32
252558580538D591989A14222991DBFB218D3043,2.753571429,6,Electrical Engineering,Electrical Engineering,M,White,White,ESCA,ESCA,MAC1147,MAC1147,C,12,2.758333333,Retained,3.95
2534B7625FF8DF13CCC7276346938186F9222965,2.977142857,25,Mechanical Engineering,Mechanical Engineering,F,White,White,ESCA,ESCA,MAC2312,MAC2312,B,15,2.74,Retained,4.39
25709A49912314EE1ED811248B2838B55125E6E8,3.675471698,43,Biochemistry,Biochemistry,F,White,White,SANT,SANT,MAC1147,MAC1147,A,13,4,Retained,4.58
260062B43614728F19F7709A90AC60A9B778F68B,0,40,Cybersecurity,Cybersecurity,M,White,White,SANT,SANT,MAC2311,MAC2311,W,9,2.2,Dropped,4.04
261926CE60D8E73FB1A84B05779F6F7B4F1B5709,1,0,Physics,Physics,M,Two or More,Two or More,DUVA,DUVA,MAC1105C,MAC1105C,F,10,0,Dropped,2.11
26CAB5D28985335980E299BB1C4008288385FF7D,3.129032258,0,Cybersecurity,Cybersecurity,M,African American,African American,NFLA,NFLA,MAC1105C,MAC1105C,A,10,3.4,Retained,3.47
26EC32D963FE8474FD3BDFDB38152C2AA8619B3D,2.826315789,9,Marine Biology,Marine Biology,F,White,White,OKAL,OKAL,MAC1105C,MAC1105C,C+,12,2.458333333,Retained,3.42
27A5DB1A9E0A3B717AAE57B6291FAE342305F821,0,0,Marine Biology,Marine Biology,M,White,White,COLL,Others,MAC1147,MAC1147,W,3,0,Dropped,2.75
28204E6D76B7A2F2F9AAC0F4A72731F340A95789,3.41,28,Biomedical Sciences,Biomedical Sciences,F,White,White,SANT,SANT,MAC1114,Others,B,10,3.42,Retained,4.39
28559ACA1B33F64DE9773E67EC7658994AECF998,2.417391304,0,Biomedical Sciences,Biomedical Sciences,M,Hispanic,Hispanic,NFLA,NFLA,MAC1147,MAC1147,C-,12,2.475,Retained,2.86
2867C2F679C3FE954305021947F41F6C698A94C0,3.587804878,18,Biomedical Sciences,Biomedical Sciences,F,African American,African American,ESCA,ESCA,MAC2311,MAC2311,B+,14,3.435714286,Retained,4.37
287E83960F2B2CC73A6C2CFD8A268DE2D0ED99D1,2.428571429,0,Mechanical Engineering,Mechanical Engineering,M,White,White,ESCA,ESCA,MAC1147,MAC1147,C,13,2.069230769,Retained,3.93
28BF9187DCD6074CEA4F20A10AF533BB606FF683,3.652631579,3,Biomedical Sciences,Biomedical Sciences,M,African American,African American,ESCA,ESCA,MAC1147,MAC1147,A,14,3.578571429,Retained,3.92
28CA9F31533022A38F5803B2971B6990C41768FC,1.6,24,Mechanical Engineering,Mechanical Engineering,M,Two or More,Two or More,SANT,SANT,MAC2311,MAC2311,F,12,1.6,Dropped,4.25
29ABE090ADEB271622E768760A88DC06AC24D668,3.4125,6,Cybersecurity,Cybersecurity,F,White,White,VOLU,Others,MAC1147,MAC1147,A-,14,3.421428571,Retained,3.13
29DEF0C8ADA01F66287158F62FEE675642534BCA,0,31,Software Engineering,Software Engineering,M,White,White,BAY,BAY,MAC1147,MAC1147,F,13,0,Dropped,3.68
29FD8ABD03179FCA7494788A806D2A7D5930DD25,3.532352941,54,Information Technology,Information Technology,M,White,White,ESCA,ESCA,NoAttempt,NoAttempt,NoAttempt,13,3.469230769,Retained,3.88
2A9B6FF037122D8218660AEDE51664803EEE2249,2.393333333,9,Natural Science,Natural Science,M,Hispanic,Hispanic,ESCA,ESCA,MAC1105C,MAC1105C,C-,14,2.692857143,Retained,3.14
2AAB0564965116E63A5715E0285435B1F38F886C,0,6,Cybersecurity,Cybersecurity,M,White,White,SANT,SANT,MAC1105C,MAC1105C,W,3,0,Dropped,3.12
